Found 1 shards at wikitext-103/wiki.valid.tokens.sent
Loading data from: wikitext-103/wiki.valid.tokens.sent
Loaded 11357 sentences.
Finished loading
Found 1 shards at wikitext-103/wiki.valid.tokens.sent
Loading data from: wikitext-103/wiki.valid.tokens.sent
Loaded 11357 sentences.
Finished loading
USING SKIP CONNECTIONS
batch=193, batch_perplexity=946.4489, avg_perplexity=606.7172446835181, time=6.658858776092529
batch=194, batch_perplexity=693.1421, avg_perplexity=607.1338712561525, time=6.694290637969971
batch=195, batch_perplexity=800.88477, avg_perplexity=607.9968251307324, time=6.7291340827941895
batch=196, batch_perplexity=826.91895, avg_perplexity=608.951561364659, time=6.763561010360718
batch=197, batch_perplexity=848.6538, avg_perplexity=609.9784095819017, time=6.79720664024353
batch=198, batch_perplexity=728.30896, avg_perplexity=610.5248678802624, time=6.832008123397827
batch=199, batch_perplexity=784.4511, avg_perplexity=611.2943842786569, time=6.866612672805786
batch=200, batch_perplexity=613.4817, avg_perplexity=611.3053011830364, time=6.901399850845337
batch=201, batch_perplexity=553.4475, avg_perplexity=611.0029786481145, time=6.936095237731934
batch=202, batch_perplexity=589.1224, avg_perplexity=610.8926818224254, time=6.970692157745361
batch=203, batch_perplexity=517.1993, avg_perplexity=610.3918560568006, time=7.005147218704224
batch=204, batch_perplexity=777.32166, avg_perplexity=611.1156383443422, time=7.039926052093506
batch=205, batch_perplexity=839.5622, avg_perplexity=612.0631374658515, time=7.0729358196258545
batch=206, batch_perplexity=904.1126, avg_perplexity=613.2233479970233, time=7.107850790023804
batch=207, batch_perplexity=683.2313, avg_perplexity=613.5436832705943, time=7.1421873569488525
batch=208, batch_perplexity=799.3042, avg_perplexity=614.3243537073423, time=7.176931381225586
batch=209, batch_perplexity=850.7737, avg_perplexity=615.2822204178786, time=7.211483478546143
batch=210, batch_perplexity=513.50757, avg_perplexity=614.7526721620441, time=7.24640965461731
batch=211, batch_perplexity=511.61783, avg_perplexity=614.2178600040958, time=7.281091928482056
batch=212, batch_perplexity=561.00055, avg_perplexity=613.9553444786635, time=7.315331935882568
batch=213, batch_perplexity=759.77277, avg_perplexity=614.5698875009581, time=7.350214719772339
batch=214, batch_perplexity=1263.0642, avg_perplexity=616.6421571100705, time=7.385204315185547
batch=215, batch_perplexity=1031.4568, avg_perplexity=618.1193863370527, time=7.41972804069519
batch=216, batch_perplexity=865.9212, avg_perplexity=619.0848416815481, time=7.45375919342041
batch=217, batch_perplexity=651.6648, avg_perplexity=619.2311798441681, time=7.4882636070251465
batch=218, batch_perplexity=627.2608, avg_perplexity=619.2677772182788, time=7.5227882862091064
batch=219, batch_perplexity=835.5975, avg_perplexity=620.1155641149045, time=7.556602239608765
batch=220, batch_perplexity=1056.5396, avg_perplexity=621.6193280263785, time=7.5914223194122314
batch=221, batch_perplexity=824.8443, avg_perplexity=622.4154730651935, time=7.624600887298584
batch=222, batch_perplexity=862.48285, avg_perplexity=623.3307242679593, time=7.652831792831421
batch=223, batch_perplexity=856.3154, avg_perplexity=624.2190063268905, time=7.687551736831665
batch=224, batch_perplexity=977.12396, avg_perplexity=625.4690070022018, time=7.720017433166504
batch=225, batch_perplexity=844.67676, avg_perplexity=626.3047808741441, time=7.754662275314331
batch=226, batch_perplexity=736.7967, avg_perplexity=626.7552031490675, time=7.789552211761475
batch=227, batch_perplexity=810.1194, avg_perplexity=627.4641565417455, time=7.824160814285278
batch=228, batch_perplexity=569.2791, avg_perplexity=627.1963973834662, time=7.858645915985107
batch=229, batch_perplexity=527.3371, avg_perplexity=626.7216065107825, time=7.893258810043335
batch=230, batch_perplexity=473.65695, avg_perplexity=625.959053393811, time=7.927885055541992
batch=231, batch_perplexity=570.4108, avg_perplexity=625.7072894081739, time=7.962777137756348
batch=232, batch_perplexity=375.28964, avg_perplexity=624.3301352178196, time=7.997636079788208
batch=233, batch_perplexity=413.16718, avg_perplexity=623.2249330497764, time=8.032269477844238
batch=234, batch_perplexity=390.87955, avg_perplexity=621.9836946615965, time=8.066850423812866
batch=235, batch_perplexity=570.55176, avg_perplexity=621.7552965326233, time=8.101620435714722
batch=236, batch_perplexity=440.8142, avg_perplexity=620.8498717059828, time=8.135666370391846
batch=237, batch_perplexity=596.39685, avg_perplexity=620.7446165385649, time=8.17008638381958
batch=238, batch_perplexity=693.1216, avg_perplexity=621.0323270014303, time=8.204656839370728
batch=239, batch_perplexity=585.98145, avg_perplexity=620.8813877650888, time=8.239237785339355
batch=240, batch_perplexity=794.5882, avg_perplexity=621.5198886779319, time=8.273981094360352
batch=241, batch_perplexity=925.95953, avg_perplexity=622.5488588981676, time=8.308518886566162
batch=242, batch_perplexity=902.018, avg_perplexity=623.5035110701424, time=8.342826128005981
batch=243, batch_perplexity=662.673, avg_perplexity=623.6598612885175, time=8.37740159034729
batch=244, batch_perplexity=1108.921, avg_perplexity=625.1326619540852, time=8.412197589874268
batch=245, batch_perplexity=903.85095, avg_perplexity=626.0741325345203, time=8.446553707122803
batch=246, batch_perplexity=867.9538, avg_perplexity=626.906064829073, time=8.481379508972168
batch=247, batch_perplexity=1002.1759, avg_perplexity=628.0978916452763, time=8.516586780548096
batch=248, batch_perplexity=846.36163, avg_perplexity=628.8537115985615, time=8.551121711730957
batch=249, batch_perplexity=978.09265, avg_perplexity=629.9702368974869, time=8.585500717163086
batch=250, batch_perplexity=1060.076, avg_perplexity=631.28300769872, time=8.62066125869751
batch=251, batch_perplexity=691.1608, avg_perplexity=631.5109602399527, time=8.6556978225708
batch=252, batch_perplexity=720.3586, avg_perplexity=631.8409201951241, time=8.69046139717102
batch=253, batch_perplexity=656.5153, avg_perplexity=631.9365987729698, time=8.725197553634644
batch=254, batch_perplexity=698.58044, avg_perplexity=632.1860919474265, time=8.759947776794434
batch=255, batch_perplexity=618.47015, avg_perplexity=632.13171426999, time=8.794668912887573
batch=256, batch_perplexity=908.20496, avg_perplexity=633.0271408035695, time=8.829299688339233
batch=257, batch_perplexity=980.5531, avg_perplexity=634.1059380516933, time=8.863898038864136
batch=258, batch_perplexity=1167.1295, avg_perplexity=635.6071677660643, time=8.898586511611938
batch=259, batch_perplexity=1089.3668, avg_perplexity=636.9307325452909, time=8.932745933532715
batch=260, batch_perplexity=712.5156, avg_perplexity=637.2055072992667, time=8.967539548873901
batch=261, batch_perplexity=957.0059, avg_perplexity=638.1992413092062, time=9.002260208129883
batch=262, batch_perplexity=986.8282, avg_perplexity=639.2617898503097, time=9.036535263061523
batch=263, batch_perplexity=1031.379, avg_perplexity=640.4255215547163, time=9.071182489395142
batch=264, batch_perplexity=1070.5688, avg_perplexity=641.6731698601374, time=9.1054527759552
batch=265, batch_perplexity=596.1936, avg_perplexity=641.4951878792315, time=9.140298128128052
batch=266, batch_perplexity=789.30365, avg_perplexity=641.9954343035243, time=9.174990892410278
batch=267, batch_perplexity=1110.2766, avg_perplexity=643.3139186061688, time=9.209392309188843
batch=268, batch_perplexity=1103.768, avg_perplexity=644.6110993558108, time=9.2442045211792
batch=269, batch_perplexity=803.4598, avg_perplexity=645.139177713293, time=9.278832912445068
