Found 1 shards at wikitext-2/wiki.test.tokens
Loading data from: wikitext-2/wiki.test.tokens
Loaded 4358 sentences.
Finished loading
Found 1 shards at wikitext-2/wiki.test.tokens
Loading data from: wikitext-2/wiki.test.tokens
Loaded 4358 sentences.
Finished loading
USING SKIP CONNECTIONS
batch=174, batch_perplexity=666.90393, avg_perplexity=860.5963387806747, time=5.978487730026245
batch=175, batch_perplexity=871.9981, avg_perplexity=860.6610662864049, time=6.012842893600464
batch=176, batch_perplexity=478.1697, avg_perplexity=857.7917651763494, time=6.047605752944946
batch=177, batch_perplexity=841.02026, avg_perplexity=857.6960779330758, time=6.081796407699585
batch=178, batch_perplexity=540.2687, avg_perplexity=855.4719287840185, time=6.116492509841919
batch=179, batch_perplexity=840.63135, avg_perplexity=855.3882973033891, time=6.151167154312134
batch=180, batch_perplexity=871.83636, avg_perplexity=855.4788127935648, time=6.184772253036499
batch=181, batch_perplexity=856.19293, avg_perplexity=855.4827566948545, time=6.218980550765991
batch=182, batch_perplexity=822.01965, avg_perplexity=855.2952215817476, time=6.253465414047241
batch=183, batch_perplexity=675.53265, avg_perplexity=854.1931846266446, time=6.288604021072388
batch=184, batch_perplexity=743.24365, avg_perplexity=853.5475218802258, time=6.323339223861694
batch=185, batch_perplexity=722.5982, avg_perplexity=852.7794538824517, time=6.358127593994141
batch=186, batch_perplexity=760.38385, avg_perplexity=852.2538381261265, time=6.39173698425293
batch=187, batch_perplexity=593.7297, avg_perplexity=850.6080710943572, time=6.426731586456299
batch=188, batch_perplexity=584.67523, avg_perplexity=848.913545029704, time=6.461359262466431
batch=189, batch_perplexity=629.9435, avg_perplexity=847.5746334105527, time=6.496137619018555
batch=190, batch_perplexity=921.975, avg_perplexity=847.9500545192672, time=6.530548572540283
batch=191, batch_perplexity=687.1216, avg_perplexity=847.0168887800897, time=6.564697504043579
batch=192, batch_perplexity=464.81247, avg_perplexity=844.3737114699695, time=6.599818229675293
batch=193, batch_perplexity=853.80225, avg_perplexity=844.422294586737, time=6.634319543838501
batch=194, batch_perplexity=807.6544, avg_perplexity=844.228541562483, time=6.668698310852051
batch=195, batch_perplexity=818.3403, avg_perplexity=844.0937139217672, time=6.703015089035034
batch=196, batch_perplexity=599.68, avg_perplexity=842.6227109845235, time=6.7374937534332275
batch=197, batch_perplexity=983.11224, avg_perplexity=843.282541429189, time=6.771873950958252
batch=198, batch_perplexity=560.7142, avg_perplexity=841.5462713712755, time=6.80634069442749
batch=199, batch_perplexity=634.932, avg_perplexity=840.3557423638186, time=6.841191053390503
batch=200, batch_perplexity=763.111, avg_perplexity=839.9506968723654, time=6.874851703643799
batch=201, batch_perplexity=967.68304, avg_perplexity=840.5424705470725, time=6.90933084487915
batch=202, batch_perplexity=706.2174, avg_perplexity=839.8182338403025, time=6.943802833557129
batch=203, batch_perplexity=831.3926, avg_perplexity=839.7765195433586, time=6.978333234786987
batch=204, batch_perplexity=751.6702, avg_perplexity=839.3203729467093, time=7.012939691543579
batch=205, batch_perplexity=649.74603, avg_perplexity=838.2728555930959, time=7.047526836395264
batch=206, batch_perplexity=661.19836, avg_perplexity=837.3078114803056, time=7.0820536613464355
batch=207, batch_perplexity=499.89468, avg_perplexity=835.224038544367, time=7.116596460342407
